     0 session.created                         {"channel": "browser_voice"}
 18945 user.transcript                  turn_3 {"text_len": 34, "text_sha256_12": "b38b13f72d99"}
 21179 assistant.response_ended         turn_3 {"response_id": "resp_ERQbbcGazoYIs1k6emaab", "audio_ms": 9850, "text_len": 98, "text_sha256_12": "4a0327e87fa3"}
 21180 state.changed                    turn_3 dialog:SPEAKING->LISTENING [response_done]
 22339 user.speech_started              turn_3 {"detector": "silero_fallback_energy"}
 22419 user.speech_started              turn_3 {"detector": "silero_fallback_energy", "barge_in": true}
 22420 interruption.detected            turn_3 {"response_id": "resp_ERQbbcGazoYIs1k6emaab", "audio_ms_sent": 9850, "after_generation": true}
 22421 assistant.response_cancelled     turn_3 {"response_id": "resp_ERQbbcGazoYIs1k6emaab", "t2_ms": 22421}
 22721 failure.classified               turn_3 {"class": "playout_stop_timeout", "response_id": "resp_ERQbbcGazoYIs1k6emaab", "forced": true}
 22722 assistant.response_truncated     turn_3 {"response_id": "resp_ERQbbcGazoYIs1k6emaab", "audio_end_ms": 3806}
 22722 transport.playout_stopped        turn_3 {"response_id": "resp_ERQbbcGazoYIs1k6emaab", "client_ts_ms": null}
 25920 user.speech_committed            turn_4 {"turn_id": "turn_4", "speech_ms": 2760}
 25920 state.changed                    turn_4 dialog:LISTENING->THINKING [end_of_turn]
 25920 state.changed                    turn_4 activity:COLLECTING->ENGAGED [user_engaged]
 25921 state.changed                    turn_4 activity:ENGAGED->COLLECTING [field_needed]
 25989 assistant.response_started       turn_4 {"response_id": "resp_ERQbiDYmdgzR2Ll9wkvrh"}
 25989 state.changed                    turn_4 dialog:THINKING->SPEAKING [response_started]
 25990 transport.playout_started        turn_4 {"response_id": "resp_ERQbiDYmdgzR2Ll9wkvrh"}
 26039 user.speech_started              turn_4 {"detector": "silero_fallback_energy"}
 26119 user.speech_started              turn_4 {"detector": "silero_fallback_energy", "barge_in": true}
 26120 interruption.detected            turn_4 {"response_id": "resp_ERQbiDYmdgzR2Ll9wkvrh", "audio_ms_sent": 0, "after_generation": false}
 26120 state.changed                    turn_4 dialog:SPEAKING->INTERRUPTED [barge_in]
 26121 assistant.response_cancelled     turn_4 {"response_id": "resp_ERQbiDYmdgzR2Ll9wkvrh", "t2_ms": 26121}
 26168 transport.playout_stopped        turn_4 {"response_id": "resp_ERQbiDYmdgzR2Ll9wkvrh", "client_ts_ms": null}
 26412 user.transcript                  turn_4 {"text_len": 23, "text_sha256_12": "422591080b19"}
 28459 state.changed                    turn_4 dialog:INTERRUPTED->LISTENING [reconciled]
 28460 user.speech_committed            turn_5 {"turn_id": "turn_5", "speech_ms": 1500}
 28460 state.changed                    turn_5 dialog:LISTENING->THINKING [end_of_turn]
 28460 state.changed                    turn_5 activity:COLLECTING->ENGAGED [user_engaged]
 28460 state.changed                    turn_5 activity:ENGAGED->COLLECTING [field_needed]
 28528 assistant.response_started       turn_5 {"response_id": "resp_ERQblOfnFwwoqPHDSZHng"}
 28529 state.changed                    turn_5 dialog:THINKING->SPEAKING [response_started]
 28530 transport.playout_started        turn_5 {"response_id": "resp_ERQblOfnFwwoqPHDSZHng"}
 28966 user.transcript                  turn_5 {"text_len": 21, "text_sha256_12": "02e44b7113dd"}
 29153 state.changed                    turn_5 dialog:SPEAKING->WAITING_TOOL [tool_requested]
 29153 tool.requested                   turn_5 {"call_id": "call_UhNWdQ57jFcFkkTX", "tool_id": "record_field", "step": "received"}
 29153 tool.execution_started           turn_5 {"call_id": "call_UhNWdQ57jFcFkkTX", "tool_id": "record_field"}
 29153 tool.execution_completed         turn_5 {"call_id": "call_UhNWdQ57jFcFkkTX", "tool_id": "record_field", "provenance": "USER_STATED", "latency_ms": 0}
 29154 decision.made                    turn_5 {"kind": "validate_field", "field": "address", "source": "RULE", "ok": true}
 29154 field.recorded                   turn_5 {"name": "address", "provenance": "USER_STATED"}
 29154 state.changed                    turn_5 activity:COLLECTING->COLLECTING [field_needed]
 29154 state.changed                    turn_5 dialog:WAITING_TOOL->THINKING [tool_returned]
 29158 assistant.response_ended         turn_5 {"response_id": "resp_ERQblOfnFwwoqPHDSZHng", "audio_ms": 0, "text_len": 0, "text_sha256_12": "e3b0c44298fc"}
 29159 state.changed                    turn_5 dialog:THINKING->LISTENING [nothing_to_say]
 29227 assistant.response_started       turn_5 {"response_id": "resp_ERQbmpSwNnl8mYlMX2ijZ"}
 29227 state.changed                    turn_5 dialog:LISTENING->SPEAKING [response_started]
 29228 transport.playout_started        turn_5 {"response_id": "resp_ERQbmpSwNnl8mYlMX2ijZ"}
 29744 state.changed                    turn_5 dialog:SPEAKING->WAITING_TOOL [tool_requested]
 29744 tool.requested                   turn_5 {"call_id": "call_kwgp5SuLy7YMgU3C", "tool_id": "verify_field", "step": "received"}
 29744 tool.execution_started           turn_5 {"call_id": "call_kwgp5SuLy7YMgU3C", "tool_id": "verify_field"}
 29744 tool.execution_completed         turn_5 {"call_id": "call_kwgp5SuLy7YMgU3C", "tool_id": "verify_field", "provenance": "TOOL_VERIFIED", "latency_ms": 0}
 29745 field.verified                   turn_5 {"name": "address", "call_id": "call_kwgp5SuLy7YMgU3C"}
 29745 state.changed                    turn_5 dialog:WAITING_TOOL->THINKING [tool_returned]
 29749 assistant.response_ended         turn_5 {"response_id": "resp_ERQbmpSwNnl8mYlMX2ijZ", "audio_ms": 0, "text_len": 0, "text_sha256_12": "e3b0c44298fc"}
 29749 state.changed                    turn_5 dialog:THINKING->LISTENING [nothing_to_say]
 29821 assistant.response_started       turn_5 {"response_id": "resp_ERQbmiYwLYCi7GHqh2tf7"}
 29821 state.changed                    turn_5 dialog:LISTENING->SPEAKING [response_started]
 29823 transport.playout_started        turn_5 {"response_id": "resp_ERQbmiYwLYCi7GHqh2tf7"}
 32186 assistant.response_ended         turn_5 {"response_id": "resp_ERQbmiYwLYCi7GHqh2tf7", "audio_ms": 10350, "text_len": 100, "text_sha256_12": "3ff4900c58f8"}
 32186 state.changed                    turn_5 dialog:SPEAKING->LISTENING [response_done]
 35155 state.changed                    turn_5 dialog:LISTENING->CLOSED [close]
 35156 state.changed                    turn_5 activity:COLLECTING->ABANDONED [user_left]
 37200 provider.session_closed          turn_5 {}
 37201 outcome.produced                 turn_5 {"primary": "abandoned", "secondary": []}
 37201 interaction_record.produced      turn_5 {"ref": "memory://record/rec_d807506e4a5b4082"}
 37201 session.ended                    turn_5 {"reason": "user_bye", "turns": 5}
