     0 session.created                         {"channel": "browser_voice"}
 29400 state.changed                    turn_3 dialog:WAITING_TOOL->THINKING [tool_returned]
 29402 assistant.response_ended         turn_3 {"response_id": "resp_ERR6EunhzKX915DsFg7F7", "audio_ms": 0, "text_len": 0, "text_sha256_12": "e3b0c44298fc"}
 29402 state.changed                    turn_3 dialog:THINKING->LISTENING [nothing_to_say]
 29472 assistant.response_started       turn_3 {"response_id": "resp_ERR6FcyzdI0lSta4c1dGy"}
 29472 state.changed                    turn_3 dialog:LISTENING->SPEAKING [response_started]
 29474 transport.playout_started        turn_3 {"response_id": "resp_ERR6FcyzdI0lSta4c1dGy"}
 29603 user.transcript                  turn_3 {"text_len": 45, "text_sha256_12": "81c87f92d215"}
 29827 state.changed                    turn_3 dialog:SPEAKING->WAITING_TOOL [tool_requested]
 29827 tool.requested                   turn_3 {"call_id": "call_cdu6cgX8BC8IaGDv", "tool_id": "verify_field", "step": "received"}
 29828 tool.execution_started           turn_3 {"call_id": "call_cdu6cgX8BC8IaGDv", "tool_id": "verify_field"}
 29828 tool.execution_completed         turn_3 {"call_id": "call_cdu6cgX8BC8IaGDv", "tool_id": "verify_field", "provenance": "TOOL_VERIFIED", "latency_ms": 0}
 29828 field.verified                   turn_3 {"name": "address", "call_id": "call_cdu6cgX8BC8IaGDv"}
 29829 state.changed                    turn_3 dialog:WAITING_TOOL->THINKING [tool_returned]
 29832 assistant.response_ended         turn_3 {"response_id": "resp_ERR6FcyzdI0lSta4c1dGy", "audio_ms": 0, "text_len": 0, "text_sha256_12": "e3b0c44298fc"}
 29832 state.changed                    turn_3 dialog:THINKING->LISTENING [nothing_to_say]
 29904 assistant.response_started       turn_3 {"response_id": "resp_ERR6FhJsC543eMV5r8xl8"}
 29904 state.changed                    turn_3 dialog:LISTENING->SPEAKING [response_started]
 29906 transport.playout_started        turn_3 {"response_id": "resp_ERR6FhJsC543eMV5r8xl8"}
 31631 assistant.response_ended         turn_3 {"response_id": "resp_ERR6FhJsC543eMV5r8xl8", "audio_ms": 7800, "text_len": 69, "text_sha256_12": "752340aa5f6d"}
 31632 state.changed                    turn_3 dialog:SPEAKING->LISTENING [response_done]
 34313 state.changed                    turn_3 dialog:LISTENING->CLOSED [close]
 34313 state.changed                    turn_3 activity:COLLECTING->ABANDONED [user_left]
 36355 provider.session_closed          turn_3 {}
 36356 outcome.produced                 turn_3 {"primary": "abandoned", "secondary": []}
 36356 interaction_record.produced      turn_3 {"ref": "memory://record/rec_3a9f4c5fb0c74942"}
 36356 session.ended                    turn_3 {"reason": "user_bye", "turns": 3}
