     0 session.created                         {"channel": "browser_voice"}
 14815 state.changed                    turn_2 dialog:SPEAKING->INTERRUPTED [barge_in]
 14815 assistant.response_cancelled     turn_2 {"response_id": "resp_ERR8Hn64BXJRz7bTNLerw", "t2_ms": 14815}
 14819 transport.playout_started        turn_2 {"response_id": "resp_ERR8Hn64BXJRz7bTNLerw"}
 14819 transport.playout_stopped        turn_2 {"response_id": "resp_ERR8Hn64BXJRz7bTNLerw", "client_ts_ms": null}
 20651 state.changed                    turn_2 dialog:INTERRUPTED->LISTENING [reconciled]
 20652 user.speech_committed            turn_3 {"turn_id": "turn_3", "speech_ms": 4740}
 20652 state.changed                    turn_3 dialog:LISTENING->THINKING [end_of_turn]
 20652 state.changed                    turn_3 activity:COLLECTING->ENGAGED [user_engaged]
 20652 state.changed                    turn_3 activity:ENGAGED->COLLECTING [field_needed]
 20716 assistant.response_started       turn_3 {"response_id": "resp_ERR8NHGgk1WSGvV8n5PCE"}
 20716 state.changed                    turn_3 dialog:THINKING->SPEAKING [response_started]
 20718 transport.playout_started        turn_3 {"response_id": "resp_ERR8NHGgk1WSGvV8n5PCE"}
 21255 user.transcript                  turn_3 {"text_len": 46, "text_sha256_12": "1e17a887672b"}
 21262 state.changed                    turn_3 dialog:SPEAKING->WAITING_TOOL [tool_requested]
 21262 tool.requested                   turn_3 {"call_id": "call_EIaKyn4RKyxLoh7s", "tool_id": "record_field", "step": "received"}
 21263 tool.execution_started           turn_3 {"call_id": "call_EIaKyn4RKyxLoh7s", "tool_id": "record_field"}
 21263 tool.execution_completed         turn_3 {"call_id": "call_EIaKyn4RKyxLoh7s", "tool_id": "record_field", "provenance": "USER_STATED", "latency_ms": 0}
 21264 decision.made                    turn_3 {"kind": "validate_field", "field": "address", "source": "RULE", "ok": true}
 21264 field.recorded                   turn_3 {"name": "address", "provenance": "USER_STATED"}
 21264 state.changed                    turn_3 activity:COLLECTING->COLLECTING [field_needed]
 21265 state.changed                    turn_3 dialog:WAITING_TOOL->THINKING [tool_returned]
 21266 assistant.response_ended         turn_3 {"response_id": "resp_ERR8NHGgk1WSGvV8n5PCE", "audio_ms": 0, "text_len": 0, "text_sha256_12": "e3b0c44298fc"}
 21266 state.changed                    turn_3 dialog:THINKING->LISTENING [nothing_to_say]
 21341 assistant.response_started       turn_3 {"response_id": "resp_ERR8OJ1l72XvKUpT2ut5X"}
 21341 state.changed                    turn_3 dialog:LISTENING->SPEAKING [response_started]
 21343 transport.playout_started        turn_3 {"response_id": "resp_ERR8OJ1l72XvKUpT2ut5X"}
 21927 state.changed                    turn_3 dialog:SPEAKING->WAITING_TOOL [tool_requested]
 21928 tool.requested                   turn_3 {"call_id": "call_l1aTLdCrkBxCXlnB", "tool_id": "verify_field", "step": "received"}
 21928 tool.execution_started           turn_3 {"call_id": "call_l1aTLdCrkBxCXlnB", "tool_id": "verify_field"}
 21928 tool.execution_completed         turn_3 {"call_id": "call_l1aTLdCrkBxCXlnB", "tool_id": "verify_field", "provenance": "TOOL_VERIFIED", "latency_ms": 0}
 21929 field.verified                   turn_3 {"name": "address", "call_id": "call_l1aTLdCrkBxCXlnB"}
 21929 state.changed                    turn_3 dialog:WAITING_TOOL->THINKING [tool_returned]
 21933 assistant.response_ended         turn_3 {"response_id": "resp_ERR8OJ1l72XvKUpT2ut5X", "audio_ms": 0, "text_len": 0, "text_sha256_12": "e3b0c44298fc"}
 21934 state.changed                    turn_3 dialog:THINKING->LISTENING [nothing_to_say]
 22000 assistant.response_started       turn_3 {"response_id": "resp_ERR8PA54QhomUp0XCmPJV"}
 22000 state.changed                    turn_3 dialog:LISTENING->SPEAKING [response_started]
 22002 transport.playout_started        turn_3 {"response_id": "resp_ERR8PA54QhomUp0XCmPJV"}
 23500 state.changed                    turn_3 dialog:SPEAKING->CLOSED [close]
 23500 state.changed                    turn_3 activity:COLLECTING->ABANDONED [user_left]
 25541 provider.session_closed          turn_3 {}
 25542 outcome.produced                 turn_3 {"primary": "abandoned", "secondary": []}
 25543 interaction_record.produced      turn_3 {"ref": "memory://record/rec_9b8b9cde45584e5e"}
 25543 session.ended                    turn_3 {"reason": "user_bye", "turns": 3}
